Size,Duration_in_us,If_sorted
1000000,473204,1
1000000,407464,1
1000000,398118,1
1000000,377038,1
1000000,462008,1
1000000,538182,1
1000000,376485,1
1000000,392422,1
1000000,438837,1
1000000,395556,1
1000000,479973,1
1000000,382425,1
1000000,506451,1
1000000,402861,1
1000000,429439,1
1000000,367471,1
1000000,410513,1
1000000,405440,1
1000000,392554,1
1000000,410789,1
1000000,428414,1
1000000,399089,1
1000000,467449,1
1000000,373134,1
1000000,389023,1
1000000,376586,1
1000000,449332,1
1000000,426838,1
1000000,512097,1
1000000,389660,1
1000000,370906,1
1000000,401933,1
1000000,410114,1
1000000,561525,1
1000000,409487,1
1000000,434592,1
1000000,427738,1
1000000,467474,1
1000000,423097,1
1000000,379355,1
1000000,480688,1
1000000,390922,1
1000000,499001,1
1000000,452227,1
1000000,379625,1
1000000,517332,1
1000000,374438,1
1000000,517642,1
1000000,411290,1
1000000,439053,1
1000000,455590,1
1000000,377245,1
1000000,436433,1
1000000,457952,1
1000000,480762,1
1000000,375745,1
1000000,529966,1
1000000,401389,1
1000000,450873,1
1000000,421849,1
1000000,464345,1
1000000,521714,1
1000000,432201,1
1000000,393544,1
1000000,452112,1
1000000,452316,1
1000000,391896,1
1000000,419419,1
1000000,419997,1
1000000,414328,1
1000000,413005,1
1000000,393050,1
1000000,392718,1
1000000,444444,1
1000000,399530,1
1000000,446994,1
1000000,447267,1
1000000,408812,1
1000000,472792,1
1000000,371903,1
1000000,435188,1
1000000,450637,1
1000000,397322,1
1000000,370217,1
1000000,442718,1
1000000,441389,1
1000000,499015,1
1000000,442870,1
1000000,486090,1
1000000,423650,1
1000000,457956,1
1000000,379603,1
1000000,405385,1
1000000,421380,1
1000000,371367,1
1000000,454776,1
1000000,522361,1
1000000,444264,1
1000000,400144,1
1000000,374164,1
