Size,Duration_in_us,If_sorted
1000000,192825,1
1000000,190193,1
1000000,190263,1
1000000,224705,1
1000000,189620,1
1000000,204475,1
1000000,227212,1
1000000,262467,1
1000000,217177,1
1000000,187637,1
1000000,187742,1
1000000,188069,1
1000000,187653,1
1000000,190144,1
1000000,187718,1
1000000,187585,1
1000000,188097,1
1000000,187693,1
1000000,187689,1
1000000,190258,1
1000000,189063,1
1000000,221750,1
1000000,197201,1
1000000,202175,1
1000000,192608,1
1000000,187884,1
1000000,188268,1
1000000,187835,1
1000000,187697,1
1000000,190132,1
1000000,187840,1
1000000,188439,1
1000000,188123,1
1000000,188186,1
1000000,190444,1
1000000,187945,1
1000000,193774,1
1000000,200841,1
1000000,199943,1
1000000,202443,1
1000000,188029,1
1000000,187801,1
1000000,188011,1
1000000,187837,1
1000000,187817,1
1000000,190861,1
1000000,187820,1
1000000,188263,1
1000000,187700,1
1000000,187763,1
1000000,190377,1
1000000,187924,1
1000000,198738,1
1000000,205477,1
1000000,198290,1
1000000,197810,1
1000000,187769,1
1000000,190254,1
1000000,188005,1
1000000,187711,1
1000000,191352,1
1000000,187558,1
1000000,187646,1
1000000,188110,1
1000000,187837,1
1000000,189224,1
1000000,190155,1
1000000,191732,1
1000000,198899,1
1000000,199125,1
1000000,198370,1
1000000,193672,1
1000000,187832,1
1000000,188283,1
1000000,188092,1
1000000,187958,1
1000000,191171,1
1000000,187606,1
1000000,187473,1
1000000,188071,1
1000000,187877,1
1000000,191354,1
1000000,187744,1
1000000,192166,1
1000000,198746,1
1000000,201807,1
1000000,200191,1
1000000,189076,1
1000000,188045,1
1000000,188277,1
1000000,187786,1
1000000,188030,1
1000000,189799,1
1000000,187911,1
1000000,188224,1
1000000,187956,1
1000000,187890,1
1000000,190165,1
1000000,187844,1
1000000,196452,1
