Size,Duration_in_us,If_sorted
1000000,159230,1
1000000,152699,1
1000000,156133,1
1000000,156767,1
1000000,153100,1
1000000,153979,1
1000000,162962,1
1000000,160964,1
1000000,153781,1
1000000,159264,1
1000000,177616,1
1000000,190792,1
1000000,164697,1
1000000,160911,1
1000000,154478,1
1000000,155218,1
1000000,152998,1
1000000,152945,1
1000000,152762,1
1000000,152781,1
1000000,153096,1
1000000,157839,1
1000000,170862,1
1000000,161520,1
1000000,154423,1
1000000,155440,1
1000000,155989,1
1000000,157575,1
1000000,175566,1
1000000,193154,1
1000000,168165,1
1000000,164451,1
1000000,162467,1
1000000,158793,1
1000000,179059,1
1000000,173431,1
1000000,185922,1
1000000,162188,1
1000000,177571,1
1000000,174897,1
1000000,157553,1
1000000,155694,1
1000000,152689,1
1000000,152816,1
1000000,152808,1
1000000,152691,1
1000000,165442,1
1000000,162820,1
1000000,180343,1
1000000,175937,1
1000000,168480,1
1000000,171223,1
1000000,178193,1
1000000,164528,1
1000000,168607,1
1000000,164770,1
1000000,169906,1
1000000,163340,1
1000000,168853,1
1000000,163235,1
1000000,165400,1
1000000,164476,1
1000000,168452,1
1000000,169413,1
1000000,195983,1
1000000,163461,1
1000000,170948,1
1000000,170014,1
1000000,166346,1
1000000,162184,1
1000000,173554,1
1000000,158007,1
1000000,166724,1
1000000,161178,1
1000000,153152,1
1000000,153072,1
1000000,155704,1
1000000,153203,1
1000000,153245,1
1000000,152591,1
1000000,152312,1
1000000,152821,1
1000000,156486,1
1000000,161307,1
1000000,162211,1
1000000,161741,1
1000000,173448,1
1000000,161483,1
1000000,156674,1
1000000,153594,1
1000000,153176,1
1000000,159010,1
1000000,152445,1
1000000,152434,1
1000000,152347,1
1000000,155640,1
1000000,152340,1
1000000,153364,1
1000000,157110,1
1000000,152604,1
