Size,Duration_in_us,If_sorted
1000000,139736,1
1000000,136670,1
1000000,136698,1
1000000,140583,1
1000000,136264,1
1000000,136251,1
1000000,143444,1
1000000,135786,1
1000000,164574,1
1000000,148548,1
1000000,136126,1
1000000,135889,1
1000000,171089,1
1000000,194832,1
1000000,144101,1
1000000,144671,1
1000000,144968,1
1000000,137114,1
1000000,136636,1
1000000,138087,1
1000000,137963,1
1000000,136146,1
1000000,136262,1
1000000,137090,1
1000000,136149,1
1000000,136052,1
1000000,136173,1
1000000,138997,1
1000000,136114,1
1000000,136061,1
1000000,136201,1
1000000,136203,1
1000000,136106,1
1000000,137736,1
1000000,146231,1
1000000,143768,1
1000000,145289,1
1000000,149573,1
1000000,139432,1
1000000,135950,1
1000000,135815,1
1000000,138182,1
1000000,135826,1
1000000,136297,1
1000000,136216,1
1000000,136268,1
1000000,136188,1
1000000,136342,1
1000000,139066,1
1000000,136132,1
1000000,135749,1
1000000,135838,1
1000000,135955,1
1000000,135873,1
1000000,135911,1
1000000,141416,1
1000000,147124,1
1000000,169601,1
1000000,147068,1
1000000,146179,1
1000000,137275,1
1000000,136621,1
1000000,136498,1
1000000,139120,1
1000000,136108,1
1000000,135912,1
1000000,136152,1
1000000,136522,1
1000000,136446,1
1000000,136557,1
1000000,139263,1
1000000,136110,1
1000000,136040,1
1000000,136115,1
1000000,136337,1
1000000,136040,1
1000000,137876,1
1000000,149272,1
1000000,144930,1
1000000,144263,1
1000000,158829,1
1000000,139683,1
1000000,135988,1
1000000,136239,1
1000000,139135,1
1000000,135985,1
1000000,136074,1
1000000,135935,1
1000000,135758,1
1000000,135841,1
1000000,135940,1
1000000,136256,1
1000000,138433,1
1000000,135854,1
1000000,136322,1
1000000,136578,1
1000000,136319,1
1000000,136305,1
1000000,142398,1
1000000,148119,1
