Size,Duration_in_us,If_sorted
1000000,6097179,1
1000000,6181007,1
1000000,6146580,1
1000000,6326015,1
1000000,6561795,1
1000000,6546533,1
1000000,6312907,1
1000000,6227202,1
1000000,6378261,1
1000000,6520618,1
1000000,6246284,1
1000000,6243887,1
1000000,6622512,1
1000000,6464858,1
1000000,6292642,1
1000000,6193602,1
1000000,6534501,1
1000000,6400926,1
1000000,6312955,1
1000000,6503075,1
1000000,6354620,1
1000000,6583170,1
1000000,6533735,1
1000000,6131808,1
1000000,6226890,1
1000000,6592949,1
1000000,6578915,1
1000000,6499013,1
1000000,6399789,1
1000000,6394060,1
1000000,6462242,1
1000000,6474716,1
1000000,6523993,1
1000000,6915116,1
1000000,7065011,1
1000000,6526921,1
1000000,6121952,1
1000000,6452420,1
1000000,6450002,1
1000000,6395820,1
1000000,6369963,1
1000000,6564945,1
1000000,6162901,1
1000000,6424927,1
1000000,6519924,1
1000000,6160043,1
1000000,6227116,1
1000000,6261725,1
1000000,6233092,1
1000000,6221310,1
1000000,7075240,1
1000000,6138198,1
1000000,6265971,1
1000000,6180314,1
1000000,6239052,1
1000000,6124271,1
1000000,6169571,1
1000000,6238306,1
1000000,6134825,1
1000000,6116683,1
1000000,6258455,1
1000000,6412293,1
1000000,6213916,1
1000000,6115777,1
1000000,6087113,1
1000000,6419465,1
1000000,6108804,1
1000000,6281191,1
1000000,6073585,1
1000000,6248895,1
1000000,6484367,1
1000000,6243165,1
1000000,6250416,1
1000000,6280943,1
1000000,6077174,1
1000000,6076442,1
1000000,6247239,1
1000000,6102014,1
1000000,6144577,1
1000000,6318634,1
1000000,6466472,1
1000000,6175571,1
1000000,6242185,1
1000000,6460579,1
1000000,6378705,1
1000000,6078813,1
1000000,6055617,1
1000000,6308202,1
1000000,6232926,1
1000000,6144610,1
1000000,5974046,1
1000000,6158034,1
1000000,6215348,1
1000000,6221434,1
1000000,6128524,1
1000000,6127808,1
1000000,5940743,1
1000000,6326006,1
1000000,6285824,1
1000000,6424823,1
