Size,Duration_in_us,If_sorted
1000000,4586495,1
1000000,4559723,1
1000000,4559558,1
1000000,4555548,1
1000000,4551157,1
1000000,4561424,1
1000000,4549837,1
1000000,4547918,1
1000000,4554307,1
1000000,4561195,1
1000000,4556816,1
1000000,4550841,1
1000000,4552312,1
1000000,4543661,1
1000000,4581910,1
1000000,4552325,1
1000000,4545728,1
1000000,4550700,1
1000000,4553679,1
1000000,4545430,1
1000000,4558882,1
1000000,4550265,1
1000000,4553303,1
1000000,4546920,1
1000000,4552254,1
1000000,4565090,1
1000000,4556499,1
1000000,4564574,1
1000000,4562553,1
1000000,4554387,1
1000000,4553752,1
1000000,4568571,1
1000000,4563276,1
1000000,4551221,1
1000000,4543522,1
1000000,4550738,1
1000000,4549604,1
1000000,4563336,1
1000000,4554545,1
1000000,4574836,1
1000000,4554440,1
1000000,4552707,1
1000000,4549489,1
1000000,4557474,1
1000000,4554345,1
1000000,4554553,1
1000000,4543146,1
1000000,4546393,1
1000000,4550041,1
1000000,4565020,1
1000000,4560395,1
1000000,4569676,1
1000000,4563383,1
1000000,4554552,1
1000000,4565982,1
1000000,4549840,1
1000000,4548707,1
1000000,4562216,1
1000000,4567536,1
1000000,4557399,1
1000000,4563222,1
1000000,4566213,1
1000000,4559652,1
1000000,4566403,1
1000000,4555884,1
1000000,4551061,1
1000000,4572245,1
1000000,4560036,1
1000000,4549813,1
1000000,4556915,1
1000000,4543291,1
1000000,4554845,1
1000000,4550729,1
1000000,4555202,1
1000000,4550988,1
1000000,4553687,1
1000000,4572686,1
1000000,4547875,1
1000000,4549524,1
1000000,4545956,1
1000000,4575686,1
1000000,4558302,1
1000000,4550668,1
1000000,4546344,1
1000000,4569524,1
1000000,4548482,1
1000000,4565484,1
1000000,4565626,1
1000000,4555019,1
1000000,4574632,1
1000000,4554633,1
1000000,4555033,1
1000000,4553942,1
1000000,4548872,1
1000000,4556946,1
1000000,4577336,1
1000000,4560465,1
1000000,4554316,1
1000000,4560758,1
1000000,4550286,1
