Size,Duration_in_us,If_sorted
1000000,4584223,1
1000000,4596063,1
1000000,4605855,1
1000000,4560113,1
1000000,4583703,1
1000000,4574235,1
1000000,4588705,1
1000000,4562980,1
1000000,4571235,1
1000000,4562992,1
1000000,4569114,1
1000000,4586283,1
1000000,4566338,1
1000000,4584370,1
1000000,4601134,1
1000000,4583089,1
1000000,4587644,1
1000000,4588776,1
1000000,4582781,1
1000000,4592065,1
1000000,4581121,1
1000000,4568110,1
1000000,4569644,1
1000000,4573733,1
1000000,4571857,1
1000000,4569594,1
1000000,4561478,1
1000000,4565370,1
1000000,4571634,1
1000000,4564612,1
1000000,4585152,1
1000000,4576559,1
1000000,4566463,1
1000000,4571573,1
1000000,4569976,1
1000000,4574126,1
1000000,4565541,1
1000000,4571548,1
1000000,4551789,1
1000000,4597620,1
1000000,4571193,1
1000000,4570539,1
1000000,4587168,1
1000000,4557583,1
1000000,4583378,1
1000000,4565352,1
1000000,4563364,1
1000000,4557875,1
1000000,4565682,1
1000000,4567617,1
1000000,4568063,1
1000000,4570311,1
1000000,4564634,1
1000000,4588149,1
1000000,4596089,1
1000000,4570909,1
1000000,4593664,1
1000000,4575422,1
1000000,4581474,1
1000000,4571428,1
1000000,4592792,1
1000000,4584364,1
1000000,4617433,1
1000000,4570855,1
1000000,4582282,1
1000000,4582941,1
1000000,4561503,1
1000000,4570192,1
1000000,4563492,1
1000000,4580477,1
1000000,4571275,1
1000000,4567478,1
1000000,4582617,1
1000000,4569863,1
1000000,4587778,1
1000000,4585703,1
1000000,4579950,1
1000000,4560115,1
1000000,4578458,1
1000000,4658457,1
1000000,4690631,1
1000000,4667157,1
1000000,4599764,1
1000000,4601092,1
1000000,4583598,1
1000000,4563732,1
1000000,4749636,1
1000000,4583001,1
1000000,4735869,1
1000000,4637005,1
1000000,4627423,1
1000000,4614452,1
1000000,4597822,1
1000000,4672160,1
1000000,4567859,1
1000000,4596830,1
1000000,4642652,1
1000000,4725063,1
1000000,4627432,1
1000000,4660827,1
