Size,Duration_in_us,If_sorted
1000000,141175,1
1000000,133831,1
1000000,133846,1
1000000,134363,1
1000000,139130,1
1000000,134928,1
1000000,144531,1
1000000,152203,1
1000000,154521,1
1000000,145200,1
1000000,133152,1
1000000,137445,1
1000000,133222,1
1000000,133941,1
1000000,134829,1
1000000,135904,1
1000000,133308,1
1000000,133579,1
1000000,133254,1
1000000,133004,1
1000000,133251,1
1000000,133451,1
1000000,135708,1
1000000,133942,1
1000000,134345,1
1000000,133390,1
1000000,133613,1
1000000,138569,1
1000000,147518,1
1000000,143994,1
1000000,138936,1
1000000,134687,1
1000000,134355,1
1000000,138591,1
1000000,133580,1
1000000,133362,1
1000000,134699,1
1000000,135396,1
1000000,133518,1
1000000,138567,1
1000000,136371,1
1000000,140418,1
1000000,164468,1
1000000,153971,1
1000000,141330,1
1000000,141388,1
1000000,142525,1
1000000,141742,1
1000000,138119,1
1000000,138626,1
1000000,133539,1
1000000,141138,1
1000000,136565,1
1000000,147085,1
1000000,139111,1
1000000,134598,1
1000000,134838,1
1000000,136381,1
1000000,157907,1
1000000,152490,1
1000000,142437,1
1000000,134685,1
1000000,135174,1
1000000,136785,1
1000000,136353,1
1000000,136050,1
1000000,133285,1
1000000,135297,1
1000000,139072,1
1000000,133988,1
1000000,138593,1
1000000,154592,1
1000000,137560,1
1000000,135240,1
1000000,141377,1
1000000,134457,1
1000000,134897,1
1000000,141692,1
1000000,141243,1
1000000,139892,1
1000000,136568,1
1000000,140389,1
1000000,140329,1
1000000,135365,1
1000000,133966,1
1000000,137710,1
1000000,138406,1
1000000,138779,1
1000000,136013,1
1000000,138971,1
1000000,137938,1
1000000,137082,1
1000000,133141,1
1000000,133143,1
1000000,135554,1
1000000,141434,1
1000000,138465,1
1000000,157332,1
1000000,160954,1
1000000,138930,1
