Size,Duration_in_us,If_sorted
1000000,6310547,1
1000000,6111794,1
1000000,5950495,1
1000000,5937092,1
1000000,6428927,1
1000000,6360339,1
1000000,6000453,1
1000000,6037518,1
1000000,5786091,1
1000000,6200879,1
1000000,5809316,1
1000000,6059316,1
1000000,6154950,1
1000000,6038028,1
1000000,6124710,1
1000000,6231996,1
1000000,6261954,1
1000000,6245377,1
1000000,6232099,1
1000000,6190836,1
1000000,5935725,1
1000000,6338497,1
1000000,6064928,1
1000000,6062943,1
1000000,6553073,1
1000000,6492832,1
1000000,6132390,1
1000000,6553744,1
1000000,6312467,1
1000000,6391811,1
1000000,6679093,1
1000000,5969683,1
1000000,6742244,1
1000000,6884974,1
1000000,7055411,1
1000000,6428842,1
1000000,6430919,1
1000000,6062565,1
1000000,6285323,1
1000000,6745111,1
1000000,6976142,1
1000000,7382216,1
1000000,7184567,1
1000000,7484894,1
1000000,7385553,1
1000000,7139108,1
1000000,7055493,1
1000000,7071743,1
1000000,6887999,1
1000000,7379584,1
1000000,7489498,1
1000000,7286960,1
1000000,7217729,1
1000000,7354285,1
1000000,7153404,1
1000000,7339290,1
1000000,7607595,1
1000000,7624297,1
1000000,7589231,1
1000000,7338939,1
1000000,7651559,1
1000000,7526558,1
1000000,7016178,1
1000000,7071256,1
1000000,6096807,1
1000000,6462958,1
1000000,6285995,1
1000000,6222480,1
1000000,6026196,1
1000000,5938473,1
1000000,5917050,1
1000000,5679149,1
1000000,5788706,1
1000000,5849071,1
1000000,5709208,1
1000000,6058019,1
1000000,5853848,1
1000000,5894056,1
1000000,5914657,1
1000000,6204402,1
1000000,5844807,1
1000000,5974272,1
1000000,6006636,1
1000000,5901237,1
1000000,6057773,1
1000000,5810543,1
1000000,5715390,1
1000000,5818273,1
1000000,6053260,1
1000000,6520815,1
1000000,6254595,1
1000000,6172143,1
1000000,6272694,1
1000000,6378899,1
1000000,6206502,1
1000000,6233306,1
1000000,6069454,1
1000000,6228944,1
1000000,6530099,1
1000000,6452394,1
