Size,Duration_in_us,If_sorted
1000000,4914040,1
1000000,4838114,1
1000000,4834842,1
1000000,4798090,1
1000000,4789172,1
1000000,4602467,1
1000000,4562678,1
1000000,4569803,1
1000000,4569637,1
1000000,4673194,1
1000000,4609085,1
1000000,4720436,1
1000000,4715365,1
1000000,4747227,1
1000000,4746272,1
1000000,4584252,1
1000000,4688227,1
1000000,4560869,1
1000000,4602891,1
1000000,4903323,1
1000000,4761566,1
1000000,4797836,1
1000000,4778367,1
1000000,4844860,1
1000000,4663818,1
1000000,4683575,1
1000000,4702461,1
1000000,4674343,1
1000000,4709144,1
1000000,4715238,1
1000000,4620718,1
1000000,4662087,1
1000000,4747076,1
1000000,4579555,1
1000000,4597799,1
1000000,4659995,1
1000000,4603407,1
1000000,4653277,1
1000000,4709054,1
1000000,4552051,1
1000000,4553891,1
1000000,4909061,1
1000000,4571852,1
1000000,4735777,1
1000000,4660018,1
1000000,4690908,1
1000000,4695278,1
1000000,4720868,1
1000000,4616897,1
1000000,4584165,1
1000000,4686162,1
1000000,4726206,1
1000000,4616078,1
1000000,4717703,1
1000000,4558409,1
1000000,4553117,1
1000000,4547436,1
1000000,4547482,1
1000000,4553439,1
1000000,4558803,1
1000000,4569995,1
1000000,4561236,1
1000000,4595460,1
1000000,4585685,1
1000000,4560552,1
1000000,4633897,1
1000000,4586729,1
1000000,4565104,1
1000000,4604970,1
1000000,4567601,1
1000000,4561301,1
1000000,4734718,1
1000000,4851173,1
1000000,4563696,1
1000000,4561135,1
1000000,4899454,1
1000000,4560590,1
1000000,4558995,1
1000000,4559860,1
1000000,4550650,1
1000000,4550504,1
1000000,4551083,1
1000000,4557561,1
1000000,4589107,1
1000000,4568235,1
1000000,4570073,1
1000000,4566234,1
1000000,4568292,1
1000000,4561635,1
1000000,4559718,1
1000000,4561095,1
1000000,4555328,1
1000000,4554959,1
1000000,4584478,1
1000000,4555905,1
1000000,4645152,1
1000000,4574104,1
1000000,4564596,1
1000000,4579676,1
1000000,4585872,1
