Size,Duration_in_us,If_sorted
1000000,1445293,1
1000000,1422994,1
1000000,1513023,1
1000000,1457918,1
1000000,1528488,1
1000000,1505158,1
1000000,1379998,1
1000000,1449642,1
1000000,1375051,1
1000000,1496677,1
1000000,1559341,1
1000000,1509361,1
1000000,1473079,1
1000000,1335103,1
1000000,1448769,1
1000000,1396097,1
1000000,1427505,1
1000000,1420735,1
1000000,1525592,1
1000000,1420900,1
1000000,1473352,1
1000000,1448822,1
1000000,1459454,1
1000000,1452452,1
1000000,1446233,1
1000000,1532763,1
1000000,1510824,1
1000000,1434033,1
1000000,1457015,1
1000000,1347173,1
1000000,1472166,1
1000000,1434805,1
1000000,1433852,1
1000000,1432191,1
1000000,1376771,1
1000000,1439839,1
1000000,1548276,1
1000000,1494665,1
1000000,1403355,1
1000000,1529400,1
1000000,1376727,1
1000000,1397638,1
1000000,1406656,1
1000000,1383078,1
1000000,1457181,1
1000000,1494255,1
1000000,1454293,1
1000000,1550612,1
1000000,1398579,1
1000000,1473989,1
1000000,1534606,1
1000000,1450298,1
1000000,1486066,1
1000000,1563065,1
1000000,1496372,1
1000000,1481873,1
1000000,1472547,1
1000000,1485054,1
1000000,1533202,1
1000000,1464042,1
1000000,1533528,1
1000000,1447597,1
1000000,1468410,1
1000000,1529183,1
1000000,1411239,1
1000000,1430430,1
1000000,1430013,1
1000000,1445361,1
1000000,1434238,1
1000000,1452691,1
1000000,1343530,1
1000000,1442508,1
1000000,1400988,1
1000000,1373274,1
1000000,1431851,1
1000000,1506914,1
1000000,1406816,1
1000000,1343955,1
1000000,1419721,1
1000000,1374105,1
1000000,1479281,1
1000000,1348820,1
1000000,1434485,1
1000000,1466076,1
1000000,1511175,1
1000000,1387785,1
1000000,1415410,1
1000000,1361870,1
1000000,1481331,1
1000000,1458838,1
1000000,1534693,1
1000000,1459581,1
1000000,1363326,1
1000000,1317018,1
1000000,1450742,1
1000000,1377425,1
1000000,1420469,1
1000000,1435214,1
1000000,1469066,1
1000000,1420285,1
