Size,Duration_in_us,If_sorted
1000000,140899,1
1000000,136456,1
1000000,136584,1
1000000,143488,1
1000000,136887,1
1000000,136490,1
1000000,136523,1
1000000,145373,1
1000000,165402,1
1000000,153996,1
1000000,162303,1
1000000,143031,1
1000000,136487,1
1000000,136406,1
1000000,136441,1
1000000,136419,1
1000000,136307,1
1000000,138420,1
1000000,136347,1
1000000,136370,1
1000000,136342,1
1000000,136368,1
1000000,136390,1
1000000,136339,1
1000000,136395,1
1000000,138864,1
1000000,136393,1
1000000,136356,1
1000000,140001,1
1000000,144485,1
1000000,148684,1
1000000,149695,1
1000000,159346,1
1000000,137223,1
1000000,136551,1
1000000,136589,1
1000000,136494,1
1000000,136489,1
1000000,136548,1
1000000,139769,1
1000000,136421,1
1000000,136452,1
1000000,136494,1
1000000,136395,1
1000000,136721,1
1000000,136526,1
1000000,140285,1
1000000,136672,1
1000000,136419,1
1000000,138574,1
1000000,144500,1
1000000,144347,1
1000000,144688,1
1000000,160288,1
1000000,147866,1
1000000,136253,1
1000000,136308,1
1000000,136230,1
1000000,136236,1
1000000,136280,1
1000000,138461,1
1000000,136350,1
1000000,136197,1
1000000,136276,1
1000000,136412,1
1000000,136390,1
1000000,136417,1
1000000,136382,1
1000000,138702,1
1000000,136394,1
1000000,136305,1
1000000,140633,1
1000000,144419,1
1000000,143436,1
1000000,144118,1
1000000,150270,1
1000000,139994,1
1000000,136481,1
1000000,136641,1
1000000,136577,1
1000000,136436,1
1000000,136567,1
1000000,139829,1
1000000,136402,1
1000000,136392,1
1000000,136448,1
1000000,136545,1
1000000,136387,1
1000000,136427,1
1000000,139846,1
1000000,136457,1
1000000,136424,1
1000000,136308,1
1000000,146285,1
1000000,146343,1
1000000,147583,1
1000000,147731,1
1000000,143877,1
1000000,136361,1
1000000,136333,1
