Size,Duration_in_us,If_sorted
1000000,1453933,1
1000000,1460620,1
1000000,1442499,1
1000000,1487306,1
1000000,1465660,1
1000000,1488843,1
1000000,1442023,1
1000000,1471031,1
1000000,1493544,1
1000000,1510555,1
1000000,1459321,1
1000000,1504765,1
1000000,1517770,1
1000000,1546399,1
1000000,1454874,1
1000000,1463519,1
1000000,1468964,1
1000000,1472047,1
1000000,1507787,1
1000000,1484079,1
1000000,1444786,1
1000000,1438675,1
1000000,1433801,1
1000000,1431264,1
1000000,1427056,1
1000000,1490723,1
1000000,1418198,1
1000000,1438878,1
1000000,1457429,1
1000000,1517766,1
1000000,1583445,1
1000000,1600889,1
1000000,1528472,1
1000000,1511324,1
1000000,1410642,1
1000000,1455836,1
1000000,1537084,1
1000000,1575074,1
1000000,1494073,1
1000000,1449238,1
1000000,1444058,1
1000000,1431377,1
1000000,1439084,1
1000000,1448851,1
1000000,1462114,1
1000000,1448380,1
1000000,1485825,1
1000000,1465619,1
1000000,1465618,1
1000000,1453190,1
1000000,1448559,1
1000000,1510614,1
1000000,1490326,1
1000000,1474664,1
1000000,1446612,1
1000000,1488296,1
1000000,1559650,1
1000000,1378018,1
1000000,1441580,1
1000000,1444247,1
1000000,1452905,1
1000000,1436872,1
1000000,1448353,1
1000000,1472052,1
1000000,1433833,1
1000000,1503954,1
1000000,1483736,1
1000000,1457598,1
1000000,1449282,1
1000000,1462820,1
1000000,1442521,1
1000000,1479331,1
1000000,1487188,1
1000000,1444245,1
1000000,1434976,1
1000000,1439199,1
1000000,1434403,1
1000000,1467247,1
1000000,1437363,1
1000000,1436798,1
1000000,1439610,1
1000000,1426564,1
1000000,1431596,1
1000000,1439675,1
1000000,1430355,1
1000000,1438281,1
1000000,1437909,1
1000000,1439273,1
1000000,1432241,1
1000000,1444361,1
1000000,1436546,1
1000000,1473981,1
1000000,1448258,1
1000000,1469087,1
1000000,1460944,1
1000000,1447196,1
1000000,1449707,1
1000000,1497068,1
1000000,1447396,1
1000000,1440455,1
