Size,Duration_in_us,If_sorted
1000000,578244,1
1000000,456619,1
1000000,392838,1
1000000,633651,1
1000000,502709,1
1000000,583652,1
1000000,774711,1
1000000,426134,1
1000000,735307,1
1000000,760541,1
1000000,439030,1
1000000,811529,1
1000000,639873,1
1000000,494830,1
1000000,634358,1
1000000,810430,1
1000000,749705,1
1000000,756440,1
1000000,735946,1
1000000,682365,1
1000000,646345,1
1000000,606971,1
1000000,797953,1
1000000,549931,1
1000000,380750,1
1000000,555475,1
1000000,422796,1
1000000,744294,1
1000000,427856,1
1000000,428485,1
1000000,526078,1
1000000,903467,1
1000000,600919,1
1000000,660323,1
1000000,588242,1
1000000,523778,1
1000000,725014,1
1000000,417582,1
1000000,459221,1
1000000,762039,1
1000000,702553,1
1000000,407282,1
1000000,391115,1
1000000,386161,1
1000000,425356,1
1000000,926152,1
1000000,603793,1
1000000,661463,1
1000000,634114,1
1000000,676504,1
1000000,405512,1
1000000,665191,1
1000000,748780,1
1000000,579791,1
1000000,851669,1
1000000,554529,1
1000000,756706,1
1000000,607032,1
1000000,439772,1
1000000,505157,1
1000000,398773,1
1000000,630951,1
1000000,364893,1
1000000,366243,1
1000000,675840,1
1000000,756166,1
1000000,378524,1
1000000,610386,1
1000000,675905,1
1000000,688467,1
1000000,374985,1
1000000,366092,1
1000000,473475,1
1000000,728634,1
1000000,588490,1
1000000,682463,1
1000000,643747,1
1000000,757305,1
1000000,833775,1
1000000,688111,1
1000000,756275,1
1000000,651560,1
1000000,431265,1
1000000,750660,1
1000000,368614,1
1000000,512639,1
1000000,539992,1
1000000,745391,1
1000000,408035,1
1000000,505840,1
1000000,580061,1
1000000,640924,1
1000000,592672,1
1000000,534190,1
1000000,528387,1
1000000,632575,1
1000000,366888,1
1000000,797847,1
1000000,680766,1
1000000,568937,1
